sequence,now,first,second,third,fourth,fifth
1,2007/11/0510:44:43.014,12.3,undeuxtroisquatrecinq,0304/12/0500:00:00.000,Y,12345
2,2007/11/0510:44:43.02 ,12.3,undeuxtroisquatrecinq,0304/12/0500:00:00.001,Y,12346
3,2007/11/0510:44:43.03 ,12.3,undeuxtroisquatrecinq,0304/12/0500:00:00.002,Y,12347
4,2007/11/0510:44:43.04 ,12.3,undeuxtroisquatrecinq,0304/12/0500:00:00.003,Y,12348
5,2007/11/0510:44:43.05 ,12.3,undeuxtroisquatrecinq,0304/12/0500:00:00.004,Y,12349
6,2007/11/0510:44:43.06 ,12.3,undeuxtroisquatrecinq,0304/12/0500:00:00.005,Y,12350
7,2007/11/0510:44:43.07 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.006,Y,12351
8,2007/11/0510:44:43.08 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.007,Y,12352
9,2007/11/0510:44:43.09 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.008,Y,12353
10,2007/11/0510:44:43.10 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.009,Y,12354
11,2007/11/0510:44:43.11 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.010,Y,12355
12,2007/11/0510:44:43.12 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.011,Y,12356
13,2007/11/0510:44:43.13 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.012,Y,12357
14,2007/11/0510:44:43.14 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.013,Y,12358
15,2007/11/0510:44:43.15 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.014,Y,12359
16,2007/11/0510:44:43.16 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.015,Y,12360
17,2007/11/0510:44:43.17 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.016,Y,12361
18,2007/11/0510:44:43.18 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.017,Y,12362
19,2007/11/0510:44:43.19 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.018,Y,12363
20,2007/11/0510:44:43.20 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.019,Y,12364
21,2007/11/0510:44:43.21 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.020,Y,12365
22,2007/11/0510:44:43.22 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.021,Y,12366
23,2007/11/0510:44:43.23 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.022,Y,12367
24,2007/11/0510:44:43.24 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.023,Y,12368
25,2007/11/0510:44:43.25 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.024,Y,12369
26,2007/11/0510:44:43.26 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.025,Y,12370
27,2007/11/0510:44:43.27 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.026,Y,12371
28,2007/11/0510:44:43.28 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.027,Y,12372
29,2007/11/0510:44:43.29 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.028,Y,12373
30,2007/11/0510:44:43.30 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.029,Y,12374
31,2007/11/0510:44:43.31 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.030,Y,12375
32,2007/11/0510:44:43.32 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.031,Y,12376
33,2007/11/0510:44:43.33 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.032,Y,12377
34,2007/11/0510:44:43.34 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.033,Y,12378
35,2007/11/0510:44:43.35 ,12.4,undeuxtroisquatrecinq,0304/12/0500:00:00.034,Y,12379
