sequence;now;first;second;third;fourth;fifth
1;2007/11/0510:44:43.014;12.345;undeuxtroisquatrecinq;0304/12/0500:00:00.000;Y;12345
2;2007/11/0510:44:43.02;12.346;undeuxtroisquatrecinq;0304/12/0500:00:00.001;Y;12346
3;2007/11/0510:44:43.03;12.347;undeuxtroisquatrecinq;0304/12/0500:00:00.002;Y;12347
4;2007/11/0510:44:43.04;12.348;undeuxtroisquatrecinq;0304/12/0500:00:00.003;Y;12348
5;2007/11/0510:44:43.05;12.349;undeuxtroisquatrecinq;0304/12/0500:00:00.004;Y;12349
6;2007/11/0510:44:43.06;12.350;undeuxtroisquatrecinq;0304/12/0500:00:00.005;Y;12350
7;2007/11/0510:44:43.07;12.351;undeuxtroisquatrecinq;0304/12/0500:00:00.006;Y;12351
8;2007/11/0510:44:43.08;12.352;undeuxtroisquatrecinq;0304/12/0500:00:00.007;Y;12352
9;2007/11/0510:44:43.09;12.353;undeuxtroisquatrecinq;0304/12/0500:00:00.008;Y;12353
10;2007/11/0510:44:43.10;12.354;undeuxtroisquatrecinq;0304/12/0500:00:00.009;Y;12354
11;2007/11/0510:44:43.11;12.355;undeuxtroisquatrecinq;0304/12/0500:00:00.010;Y;12355
12;2007/11/0510:44:43.12;12.356;undeuxtroisquatrecinq;0304/12/0500:00:00.011;Y;12356
13;2007/11/0510:44:43.13;12.357;undeuxtroisquatrecinq;0304/12/0500:00:00.012;Y;12357
14;2007/11/0510:44:43.14;12.358;undeuxtroisquatrecinq;0304/12/0500:00:00.013;Y;12358
15;2007/11/0510:44:43.15;12.359;undeuxtroisquatrecinq;0304/12/0500:00:00.014;Y;12359
16;2007/11/0510:44:43.16;12.360;undeuxtroisquatrecinq;0304/12/0500:00:00.015;Y;12360
17;2007/11/0510:44:43.17;12.361;undeuxtroisquatrecinq;0304/12/0500:00:00.016;Y;12361
18;2007/11/0510:44:43.18;12.362;undeuxtroisquatrecinq;0304/12/0500:00:00.017;Y;12362
19;2007/11/0510:44:43.19;12.363;undeuxtroisquatrecinq;0304/12/0500:00:00.018;Y;12363
20;2007/11/0510:44:43.20;12.364;undeuxtroisquatrecinq;0304/12/0500:00:00.019;Y;12364
21;2007/11/0510:44:43.21;12.365;undeuxtroisquatrecinq;0304/12/0500:00:00.020;Y;12365
22;2007/11/0510:44:43.22;12.366;undeuxtroisquatrecinq;0304/12/0500:00:00.021;Y;12366
