id;nomClient;adresseClient;idEtat;id2;tempsInsc;somme1;somme2
224;AA Advertising;35 Glenlake Dr.;13;30;18/05/2004 04:47;75136;13600.888
313;AA Advertising;245 Oakridge Ave.;7;1;04/09/2001 16:08;43120;78881.51
393;AA Advertising;899 Harvard Ct;38;27;14/03/2005 02:28;22565;94625.33
578;AA Advertising;673 Calais Drive;25;34;01/10/1997 11:00;24902;62266.684
592;AA Advertising;2024 St.Johns Ave.;22;26;27/02/1978 20:40;95750;40556.33
597;AA Advertising;662 Lyons Circle;47;25;18/03/1982 19:22;80554;63245.625
1364;AA Advertising;511 Maple Ave.  Apt. 1B;11;9;03/01/2006 13:35;82208;63579.484
1545;AA Advertising;12 Fort Sheriden Ave.;18;2;03/04/2001 17:42;16450;15920.703
1562;AA Advertising;2510 Crain;12;50;20/06/1990 06:33;67328;27520.955
1602;AA Advertising;1270 Linden Ave.;39;6;20/06/2001 22:33;33908;9480.429
1821;AA Advertising;2224 Sherman Rd.;32;23;15/03/2001 07:08;76133;49015.04
1948;AA Advertising;1860 Parkside Ln.;32;42;18/02/1993 01:47;20200;67080.94
2060;AA Advertising;618 Sheriden rd.;47;44;16/10/2000 06:33;62010;91730.78
2274;AA Advertising;313 Grove Ave.;50;37;23/11/2003 15:07;4154;68910.63
2378;AA Advertising;5518 Madison St.;30;38;03/08/2000 21:27;8852;84692.97
2553;AA Advertising;3148 cottonwood Ct.;7;15;08/03/2001 17:33;31185;83864.32
2578;AA Advertising;844 Spruce St.;12;21;21/08/2003 22:07;59040;92576.87
2582;AA Advertising;785 Highland place;15;46;05/07/2000 06:20;77273;3114.006
2633;AA Advertising;266 Green Bay Rd.;40;23;07/02/1978 11:47;26156;84.0822
3111;AA Advertising;512 Hill;44;16;14/05/1980 14:47;42980;22216.693
3208;AA Advertising;550 Sheridan;4;31;25/01/2001 08:53;8600;3700.9443
3505;AA Advertising;1701 W. Mellody Rd.;42;45;07/04/1985 22:13;21294;68760.586
3575;AA Advertising;1714 Clifton Rd.;18;20;13/04/1977 06:13;41140;66480.98
3605;AA Advertising;1486 Oakwood;2;31;04/01/2001 20:28;8388;46090.094
3613;AA Advertising;1799 Rosemary Way;8;35;27/12/1994 03:47;94250;39286.37
3825;AA Advertising;224  Highwood Ave.;24;3;17/03/2003 14:27;81687;29530.752
3875;AA Advertising;1009 marvel Way;10;14;02/05/2006 05:53;49201;24680.12
